country,country_abbr,date_iso,year,time,experiment,ID,expe_name,region_name,reef_area,sampling_site_name,event_id,latitude_start,longitude_start,latitude_end,longitude_end,length,Substrate_1,Substrate_2,Substrate_3,mean,median,stdev
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,coral_bleached,massive/meandering_bleached,massive/meandering_bleached,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,coral_alive,meandering_alive,meandering_alive,0.002953756,0.003135832,0.001430672
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,coral_dead,meandering_dead,meandering_dead,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,coral_bleached,meandering_bleached,meandering_bleached,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,other_invertebrates,sea_urchin,sea_urchin,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,other_invertebrates,sea_cucumber,sea_cucumber,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,anemone,anemone,anemone,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,other_invertebrates,sponge,sponge,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,other_invertebrates,clam,clam,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,other_animal,other_animal,other_animal,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,trash,trash,trash,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,1,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.6258,43.154,11.62541667,43.1538,50,other_invertebrates,seagrass,seagrass,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,sand,sand,sand,0.059926951,0.057087954,0.021822835
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,rubble,rubble,rubble,0.028370961,0.02762711,0.007227192
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,unknown_hard_substrate,unknown_hard_substrate,unknown_hard_substrate,0.148962914,0.155529266,0.028253025
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,algae_covered_substrate,algae_covered_substrate,algae_covered_substrate,0.435138064,0.445121494,0.051798399
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_bleached,branching_bleached,branching_bleached,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_dead,branching_dead,branching_dead,0.002443759,0.00256514,0.000965288
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,branching_alive,branching_alive,0.013476142,0.010309357,0.010124975
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,branching_alive,stylophora_alive,0.028280131,0.0288333,0.005314947
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,branching_alive,pocillopora_alive,0.005132908,0.005554052,0.001032722
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,branching_alive,acropora_alive,0.00384967,0.003091802,0.003419481
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,branching_alive,table_acropora_alive,0.010366425,0.010301083,0.003106711
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_dead,branching_dead,table_acropora_dead,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,branching_alive,millepora_alive,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,massive/meandering_alive,turbinaria_alive,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_bleached,other_coral_bleached,other_coral_bleached,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_dead,other_coral_dead,other_coral_dead,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,other_coral_alive,other_coral_alive,0.055815495,0.052292263,0.014367076
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,massive/meandering_alive,massive/meandering_alive,0.185636426,0.169480516,0.03936502
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_dead,massive/meandering_dead,massive/meandering_dead,0.007360092,0.008253826,0.002635838
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_bleached,massive/meandering_bleached,massive/meandering_bleached,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_alive,meandering_alive,meandering_alive,0.015103582,0.014343822,0.004093774
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_dead,meandering_dead,meandering_dead,0.000136481,0,0.000272962
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,coral_bleached,meandering_bleached,meandering_bleached,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,other_invertebrates,sea_urchin,sea_urchin,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,other_invertebrates,sea_cucumber,sea_cucumber,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,anemone,anemone,anemone,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,other_invertebrates,sponge,sponge,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,other_invertebrates,clam,clam,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,other_animal,other_animal,other_animal,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,trash,trash,trash,0,0,0
Djibouti,DJ,2022-09-16,2022,12:30:00,3D,2,exp202209_DJ,Gulf of Tadjourah,Djibouti_city,kempinski hotel,EXP202209_DJ_002,11.62578333,43.15406667,11.6254018,43.1538223,50,other_invertebrates,seagrass,seagrass,0,0,0
Djibouti,DJ,2022-09-17,2022,9:30:00,3D,3,exp202209_DJ,Gulf of Tadjourah,Maskali / Moucha,Sunken Buoy,EXP202209_DJ_003,11.69473333,43.14495,11.69563333,43.14503333,100,sand,sand,sand,0.044123419,0.046554538,0.011370275
Djibouti,DJ,2022-09-17,2022,9:30:00,3D,3,exp202209_DJ,Gulf of Tadjourah,Maskali / Moucha,Sunken Buoy,EXP202209_DJ_003,11.69473333,43.14495,11.69563333,43.14503333,100,rubble,rubble,rubble,0.236499995,0.232838747,0.017601219
Djibouti,DJ,2022-09-17,2022,9:30:00,3D,3,exp202209_DJ,Gulf of Tadjourah,Maskali / Moucha,Sunken Buoy,EXP202209_DJ_003,11.69473333,43.14495,11.69563333,43.14503333,100,unknown_hard_substrate,unknown_hard_substrate,unknown_hard_substrate,0.058339311,0.057225199,0.012905044
Djibouti,DJ,2022-09-17,2022,9:30:00,3D,3,exp202209_DJ,Gulf of Tadjourah,Maskali / Moucha,Sunken Buoy,EXP202209_DJ_003,11.69473333,43.14495,11.69563333,43.14503333,100,algae_covered_substrate,algae_covered_substrate,algae_covered_substrate,0.10641195,0.11013426,0.021052241
Djibouti,DJ,2022-09-17,2022,9:30:00,3D,3,exp202209_DJ,Gulf of Tadjourah,Maskali / Moucha,Sunken Buoy,EXP202209_DJ_003,11.69473333,43.14495,11.69563333,43.14503333,100,coral_bleached,branching_bleached,branching_bleached,0.000276911,0,0.00043306
